sample_id,lon,lat,state,district,event_date,elevation,slope_deg,aspect_sin,aspect_cos,plan_curv,prof_curv,tri,twi,relief_500m,rain_1d,rain_3d,rain_7d,rain_15d,rain_30d,api,rain_annual_mean,label,label_conf,loc_accuracy_km,trigger,size,category,fatalities,source,hq_location,block_id,split
09da3a5d65e6cef3,93.028,25.1553,Assam,North Cachar Hills,2010-04-01,591.9165,18.6138,0.9921,0.1256,-0.0008,-0.001,22.5639,13.108,288.7613,37.5519,72.3398,133.173,133.173,149.7027,109.031,1708.6143,1,0.3,25.0,downpour,medium,landslide,3,NASA_GLC,0,190013,val
8854fae2ae364c2c,92.899,22.533,Mizoram,Lawngtlai,2007-07-30,811.9091,7.6791,-0.2375,-0.9714,-0.0121,0.0016,13.1263,14.2748,210.5075,6.4488,24.7677,113.4455,424.3392,511.2115,196.2952,2017.1053,1,0.3,25.0,downpour,medium,landslide,0,NASA_GLC,0,190002,test
aa27deaa3e1c121f,92.8573,25.1175,Assam,North Cachar Hills,2012-06-03,144.089,4.7124,-0.8704,-0.4924,-0.002,0.0004,5.5354,14.4787,105.9328,25.882,94.6655,136.9106,189.79,344.5054,156.7342,2501.4507,1,0.6,5.0,downpour,medium,landslide,0,NASA_GLC,0,190013,val
8f628615e1c7fca8,92.9296,23.591,Mizoram,Aizawl,2010-09-13,798.7152,17.877,-0.7328,-0.6804,1e-04,-1e-04,21.572,12.3559,374.3585,9.5705,53.6358,73.7925,277.6748,489.8057,162.5655,2200.5261,1,0.3,25.0,downpour,medium,landslide,0,NASA_GLC,0,190006,val
89fa1a3d32a8cee0,88.6069,27.3383,Sikkim,East,2007-05-23,1509.4109,20.1687,-0.6213,-0.7835,1e-04,0.0003,25.5183,12.7435,466.4948,39.2324,124.1508,128.0129,197.7094,304.264,147.615,3050.8796,1,0.2,50.0,rain,medium,landslide,0,NASA_GLC,0,20023,test
0f2262ee8dac3f6a,93.5063,24.9829,Manipur,Tamenglong,2013-09-01,1314.505,23.2708,1.0,-0.0051,0.0011,-0.0,31.1154,12.811,347.7899,0.1382,0.7133,43.2043,78.1024,312.8482,63.6001,1509.9784,1,0.6,5.0,continuous_rain,medium,mudslide,0,NASA_GLC,0,210012,train
a60a796a73497a61,93.3613,25.5125,Nagaland,North Cachar Hills,2011-06-29,310.6209,1.3409,-0.7833,0.6216,0.0857,0.0004,12.7514,15.7761,137.481,4.6909,71.9394,104.756,171.967,316.5112,121.8272,1358.4022,1,0.25,25.0,downpour,medium,landslide,0,NASA_GLC,0,210015,val
a4839c0007459431,94.4826,25.3101,Manipur,Ukhrul,2010-08-15,1515.7621,20.7198,-0.6807,0.7326,-0.0052,0.0003,27.2445,13.1164,353.6719,14.8026,36.3975,46.3728,111.3419,345.8684,83.9524,1518.0431,1,0.3,25.0,downpour,medium,landslide,0,NASA_GLC,0,250014,train
cce73772114603d3,93.5,24.9925,Manipur,Tamenglong,2009-08-20,1214.6323,11.7009,0.7968,0.6042,0.0012,-0.0005,14.2251,13.7671,247.5339,5.5858,9.4355,95.8902,128.2826,207.5699,78.9039,1509.9784,1,0.45,10.0,downpour,medium,landslide,0,NASA_GLC,0,210012,train
be787d175f185c21,95.3429,28.9205,Arunachal Pradesh,Upper Dibang Valley,2014-06-26,4060.4937,20.9556,-0.8878,-0.4603,-0.005,-0.0014,27.9091,13.8707,326.9143,0.0,2.1459,25.852,63.4878,152.3679,42.304,2380.9229,1,0.25,25.0,continuous_rain,medium,landslide,0,NASA_GLC,0,290030,train
ee9f01c75ec86047,93.871,27.6438,Arunachal Pradesh,Lower Subansiri,2016-06-12,1745.6344,31.2015,0.0567,-0.9984,-0.0008,0.0,40.1954,12.3563,478.3508,20.7347,21.8842,56.5841,67.1136,424.5136,74.03,3174.538,1,0.45,10.0,downpour,medium,landslide,0,NASA_GLC,0,230024,train
a79386d94487c362,93.5935,24.8286,Manipur,Tamenglong,2011-05-31,731.0225,34.5639,-0.8492,-0.5281,0.0024,1e-04,48.8348,12.3148,522.5102,85.9707,131.8829,136.6422,404.1304,528.1602,240.9348,1640.2489,1,0.2,50.0,downpour,medium,landslide,2,NASA_GLC,0,220012,train
70a9d61b030cd260,94.0989,27.2298,Assam,Lakhimpur,2008-06-15,96.5802,0.0706,-0.1499,-0.9887,-0.0491,-0.0,1.0242,18.6905,8.7199,5.3188,108.651,209.9308,346.9094,640.0134,248.6162,3270.411,1,0.3,25.0,downpour,medium,landslide,17,NASA_GLC,0,240022,train
a92eaacfe9b3088b,90.2023,25.5145,Meghalaya,West Garo Hills,2015-08-18,311.1691,3.0375,-0.982,-0.1886,-0.0214,-0.0015,16.6478,15.2413,126.6133,28.853,66.7481,108.0294,186.8994,275.4514,119.4401,3075.9753,1,0.85,1.0,continuous_rain,medium,landslide,0,NASA_GLC,1,80015,train
5af77063076be418,91.88,25.38,Meghalaya,East Khasi Hills,2007-07-26,1259.9918,37.1543,-0.4165,0.9091,-0.0013,-0.0003,50.6729,12.5205,527.1396,87.2279,197.6594,215.7425,464.0393,594.0493,310.7434,1845.431,1,0.2,50.0,rain,medium,landslide,0,NASA_GLC,0,150014,test
79dd3c55cf39aa51,91.7351,26.1548,Assam,Kamrup,2011-09-23,53.9866,0.236,-0.9995,-0.0302,0.0008,0.0,0.4208,17.3005,49.287,0.3358,10.9185,40.9385,73.7671,159.7557,52.4439,1511.5951,1,0.25,25.0,downpour,large,landslide,4,NASA_GLC,0,140018,train
c4c9456272eb99a5,92.967,22.479,Mizoram,Saiha,2007-07-30,431.5368,14.1239,-0.6585,-0.7526,0.0123,0.0017,30.4859,13.2589,377.2766,6.4488,24.7677,113.4455,424.3392,511.2115,196.2952,2017.1053,1,0.3,25.0,downpour,medium,landslide,0,NASA_GLC,0,190001,train
346653d773c7d4c6,96.1779,27.8965,Arunachal Pradesh,Lohit,2010-04-21,207.0557,2.0427,-0.2638,-0.9646,0.0012,0.0002,2.5704,15.8038,12.7471,95.7088,177.4802,213.0267,349.6803,620.0422,281.6535,1634.2084,1,0.25,25.0,downpour,medium,landslide,12,NASA_GLC,0,320025,train
78b0916dcc2c8273,94.1099,25.6682,Nagaland,Kohima,2011-06-28,1439.0212,2.7205,-0.2626,0.9649,-0.0329,-0.0005,10.7308,15.2362,138.1249,18.7986,97.7352,114.0474,156.0691,288.7331,127.9116,1523.0817,1,0.2,50.0,downpour,medium,landslide,0,NASA_GLC,0,240015,train
ba64c73b4cb49baf,93.9815,24.004,Manipur,Chandel,2015-08-01,1422.2688,29.2447,-0.3995,0.9167,0.0015,-0.0004,37.1416,12.737,449.3391,87.598,126.0972,144.5968,302.9975,388.0002,191.8873,1078.8973,1,0.45,10.0,continuous_rain,medium,landslide,0,NASA_GLC,0,230008,train
bc992dc61500f0d1,88.2579,27.2879,Sikkim,West Sikkim,2011-06-23,1472.2985,21.8621,-0.7575,0.6528,-0.0015,-0.0006,27.4511,12.4515,478.2047,20.2708,23.6104,110.823,136.7971,256.2037,103.5026,2572.1633,1,0.6,5.0,downpour,large,landslide,16,NASA_GLC,0,23,train
f03356acdfa7dde2,92.9914,25.5242,Assam,North Cachar Hills,2010-10-09,150.6149,12.189,0.4621,0.8868,-0.0033,0.0021,15.9801,13.9207,105.763,79.3075,98.578,98.9636,123.6685,213.2482,114.7638,1358.3326,1,0.2,50.0,downpour,medium,landslide,0,NASA_GLC,0,190015,val
a7d7f9f5412be407,93.9157,24.6869,Manipur,Thoubal,2011-07-25,771.7228,0.0559,0.7803,0.6254,0.0077,0.0,0.0948,18.5785,3.5828,22.0327,25.6242,48.2261,107.8642,246.6344,70.5759,1428.1997,1,0.2,50.0,downpour,medium,landslide,0,NASA_GLC,0,230011,test
